id,english_word,polish_translation
1,the, do
2,days,dni
3,are,są
4,short,short
5,sun,słońce
6,a,a
7,spark,iskra
8,hung,Wyposażony 
9,thin,Cienka
10,between,pomiędzy
11,dark,ciemny
12,and,oraz
13,fat,tłuszcz
14,snowy,śnieżynka
15,footsteps,Kroki.
16,track,track
17,floor,piętro
18,milk,mleko
19,bottles,buteleczki 
20,burst,wybuch
21,outside,zewnątrz
22,door,drzwi
23,river,rzeka
24,is,jest
25,frozen,frozen
26,place,umieścić
27,held,rachunku płatniczego
28,still,GORZELNIA
29,beneath,poniżej
30,trees,oliwne
31,of,z
32,lace,koronka
33,sky,niebo
34,low,niskie
35,wind,energia wiatrowa
36,gray,szary
37,radiator,chłodnica
38,purrs,mruczy.
39,all,każdy
40,day,dzień
41,pull,ciągnąć
42,up,zaokrąglić kwotę w górę
43,in,cale
44,benz,benzo
45,truck,wózek
46,bumping,formowanie główki
47,lil,lil
48,peep,PEEP
