id,english_word,polish_translation
1,because,ponieważ
2,i,ja
3,could,mógłbym
4,not,nie
5,stop,stop 
6,for,za
7,death,Śmierć
8,he,he
9,kindly,pokornie
10,stopped,zatrzymano
11,me,ja
12,the, do
13,carriage,powóz
14,held,rachunku płatniczego
15,but,lecz
16,just,tylko
17,ourselves,od nas.
18,and,oraz
19,immortality,nieśmiertelność
20,we,.
21,slowly,powoli
22,drove,dłuto kamieniarskie
23,knew,wiedział
24,no,no
25,haste,Haste
26,had,udać się do toalety.
27,put,put
28,away,away
29,my,mój
30,labor,ROBOCIZNA
31,leisure,rekreacja
32,too,również
33,his,jego
34,civility,Tytuł
35,passed,spełnia
36,school,szkolny
37,where,gdzie:
38,children,dzieci
39,strove,staraj się
40,at,gdzie
41,recess,wgłębienie
42,in,cale
43,ring,pierścień
44,fields,Pola ND1
45,of,z
46,gazing,wpatrywanie się
47,grain,ziarno
48,setting,ustawienie
49,sun,słońce
50,or,lub
51,rather,Przedmioty
52,us,wybierz stronę o nas
53,dews,rosy
54,drew,Wylosowane
55,quivering,Drżenie
56,chill,forma metalowa
57,only,tylko
58,gossamer,Gossamer
59,gown,Suknia
60,tippet,napiwek
61,tulle,Tiul
62,paused,wstrzymane
63,before,przed
64,a,a
65,house,dom
66,that,które
67,seemed,wydawało się
68,swelling,obrzęk;
69,ground,masy
70,roof,dach
71,was,był
72,scarcely,raczej nie
73,visible,światło widzialne
74,cornice,Nawis
75,since,od
76,then,następnie
77,tis,TIS
78,centuries,stulecia.
79,yet,jednakże
80,feels,Emocje
81,shorter,Krótszy
82,than,niż
83,day,dzień
84,first,pierwszy
85,surmised,domniemany
86,horses,konie
87,heads,kątowej
88,were,w miarę
89,toward,długoterminowe wobec
90,eternity,na zawsze.
91,,NO QUERY SPECIFIED. EXAMPLE REQUEST: GET?Q=HELLO&LANGPAIR=EN|IT
