id,english_word,polish_translation
1,the,do
2,outlook,i jesteś optymistką
3,wasnt,nie było
4,brilliant,brylant oszlifowany
5,for,za
6,the,do
7,mudville,mudville
8,nine,dziewięć
9,that,które
10,day,dzień
11,the,do
12,score,punkty
13,stood,szymon
14,four,cztery
15,to,do
16,two,dwie
17,with,z
18,but,lecz
19,one,jeden
20,inning,innings
21,more,więcej
22,to,do
23,play,odtwórz
24,and,oraz
25,then,następnie
26,when,kiedy
27,cooney,cooney
28,died,zmarł
29,at,gdzie
30,first,pierwszy
31,and,oraz
32,barrows,wieprz
33,did,zrobił
34,the,do
35,same,taki sam identyczny
36,a,a
37,palllike,blada
38,silence,cisza
39,fell,okrutny
40,upon,upon
41,the,do
42,patrons,mecenas sztuki
43,of,z
44,the,do
45,game,gra
