id,english_word,polish_translation
1,i,i
2,jess,Jola
3,estrella,przetłumacz
4,esperanza,Esperanza
5,mercy,miłosierdzie
6,sails,liny
7,flashing,miganie
8,to,do
9,the, do
10,wind,energia wiatrowa
11,like,lubię
12,weapons,Broń
13,sharks,rekiny
14,following,następny/a (nast.)
15,the, do
16,moans,jęki
17,the, do
18,fever,gorączka,
19,and,oraz
20,the, do
21,dying,"konaniu,"
22,horror,Horror
23,the, do
24,corposant,ognie św. Elma
25,and,oraz
26,compass,compass
27,rose,jasnoróżowy
28,middle,środek
29,passage,pasaż komórek
30,voyage,Voyage
31,through,przez
32,death,Śmierć
33,to,do
34,life,na
35,upon,upon
36,these,tych
37,shores,Brzegi
38,april,kwiecień
39,blacks,czernie
40,rebellious,Powstanie
41,crew,crew
42,uneasy,niespokojny
43,our,nasi
44,linguist,Językoznawca
45,says,mówi
46,their,ich
47,moaning,stękanie
48,is,jest
49,a,a
50,prayer,modlitwa
51,for,za
52,death,Śmierć
53,ours,Ours
54,and,oraz
55,their,ich
56,own,własnych
57,some,kilka
58,try,try
59,to,do
60,starve,Głodówka
61,themselves,w nich.
62,lost,zagubiony
63,three,trzy
64,this,ten
65,morning,ranek
66,leaped,skoczył
67,with,z
68,crazy,Szaleństwo
69,laughter,śmiech
70,to,do
71,the, do
72,waiting,oczekiwanie
73,sharks,rekiny
74,sang,zaśpiewał
75,as,jak
76,they,oni
77,went,szła
78,under,pod
79,desire,chcieć
80,adventure,ryzykować
81,tartar,Kamień nazębny
82,ann,Ann.
83,standing,stojąco
84,to,do
85,america,Południowa
86,bringing,wybieranie pokładu
87,home,Strona główna
88,black,czarny
89,gold,złoto
90,black,czarny
91,ivory,ivorycolor
92,black,czarny
93,seed,Nasiono
94,deep,głębokie
95,in,cale
96,the, do
97,festering,Gnijąca
98,hold,ładownia
99,thy,Twój
100,father,ojciec
101,lies,amstwa. 
102,of,z
103,his,jego
104,bones,kości
105,new,nowe
106,england,england
107,pews,ławki
108,are,są
109,made,zrobiony
110,those,tych
111,are,są
112,altar,ołtarz
113,lights,oświetlenie
114,that,które
115,were,w miarę
116,his,jego
117,eyes,z okiem
118,jesus,jezus
119,saviour,zbawiciel
120,pilot,pilotażowy
121,me,ja
122,over,ponad
123,lifes,życia
124,tempestuous,Tempest
125,sea,"morza,"
126,we,.
127,pray,MÓDL SIĘ
128,that,które
129,thou,tysiąc
130,wilt,więdnięcie
131,grant,Dotacja
132,o,o
133,lord,pan
134,safe,sejf
135,passage,pasaż komórek
136,to,do
137,our,nasi
138,vessels,statki
139,bringing,wybieranie pokładu
140,heathen,Pogaństwo
141,souls,Dusza
142,unto,do
143,thy,Twój
144,chastening,karcenie
145,jesus,jezus
146,saviour,zbawiciel
147,bells,Dzwonki
148,i,i
149,cannot,nie mogą
150,sleep,sen
151,for,za
152,i,i
153,am,rano
154,sick,chorych
155,with,z
156,fear,strach
157,but,lecz
158,writing,Pisanie
159,eases,ułaskawienia
160,fear,strach
161,a,a
162,little,mały
163,since,od
164,still,GORZELNIA
165,my,mój
166,eyes,z okiem
167,can,może
168,see,xxx
169,these,tych
170,words,słowa
171,take,weź
172,shape,kształt
173,upon,upon
174,the, do
175,page,strona
176,so,so
177,i,i
178,write,napisz
179,as,jak
180,one,jeden
181,would,by.
182,turn,obrócić
183,to,do
184,exorcism,egzorcyzmy
185,days,dni
186,scudding,odszczecinianie
187,but,lecz
188,now,teraz
189,the, do
190,sea,"morza,"
191,is,jest
192,calm,spokojny
193,again,nowo
194,misfortune,Nieszczęścia.
195,follows,wskazówkami w następujący sposób:
196,in,cale
197,our,nasi
198,wake,stypę. 
199,like,lubię
200,sharks,rekiny
201,our,nasi
202,grinning,uśmiech
203,tutelary,opiekuńczy
204,gods,Panteon
205,which,które
206,one,jeden
207,of,z
208,us,wybierz stronę o nas
209,has,ma
210,killed,Zabity
211,an,N/A
212,albatross,Albatrosy
213,a,a
214,plague,plaga
215,among,pomiędzy
216,our,nasi
217,blacksophthalmia,czarna gałka oczna
218,blindness,ślepota
219,we,.
220,have,mieć
221,jettisoned,odrzucony
222,the, do
223,blind,niewidzący
224,to,do
225,no,no
226,avail,Dostępne
227,it,IT
228,spreads,Układy
229,the, do
230,terrifying,Przerażające.
231,sickness,mdłości 
232,spreads,Układy
233,its,its
234,claws,klamry
235,have,mieć
236,scratched,zarysowany
237,sight,celownik 
238,from,od
239,the, do
240,capts,kapturki
241,eyes,z okiem
242,there,tutaj
243,is,jest
244,blindness,ślepota
245,in,cale
246,the, do
247,focsle,focussle
248,we,.
249,must,muszą
250,sail,żagiel
251,weeks,(liczba tygodni)
252,before,przed
253,we,.
254,come,przyjść
255,to,do
256,port,port
257,what,co
258,port,port
259,awaits,oczekuje
260,us,wybierz stronę o nas
261,davy,davy
262,jones,Jones
263,or,lub
264,home,Strona główna
265,ive,ive
266,heard,wysłuchane. 
267,of,z
268,slavers,Łowcy niewolników
269,drifting,Dryfowanie
270,drifting,Dryfowanie
271,playthings,zabawki
272,of,z
273,wind,energia wiatrowa
274,and,oraz
275,storm,burza
276,and,oraz
277,chance,okazja
278,their,ich
279,crews,Zespoły
280,gone,Stracony
281,blind,niewidzący
282,the, do
283,jungle,dżungla
284,hatred,nienawiść
285,crawling,cofanie się wymalowania w
286,up,zaokrąglić kwotę w górę
287,on,w dniu
288,deck,magnetofon bez wzmacniacza mocy
289,thou,tysiąc
290,who,do mnie powiedzieć.
291,walked,chodził
292,on,w dniu
293,galilee,galilea
294,deponent,OSOBA SKŁADAJĄCA OŚWIADCZENIE
295,further,ponadto
296,sayeth,sayeth
297,the, do
298,bella,Bella
299,j,j
300,left,lewy
301,the, do
302,guinea,Gwinea
303,coast,Wybrzeżu
304,with,z
305,cargo,ładunek
306,of,z
307,five,pięć
308,hundred,sto
309,blacks,czernie
310,and,oraz
311,odd,nieparzysty
312,for,za
313,the, do
314,barracoons,barakony
315,of,z
316,florida,FLORYDA
317,that,które
318,there,tutaj
319,was,był
320,hardly,Prawie nie
321,room,***
322,tweendecks,tweendecks
323,for,za
324,half,połowie
325,the, do
326,sweltering,wzdęcia
327,cattle,bydła
328,stowed,| -W pozycji.
329,spoonfashion,spoonfashion
330,there,tutaj
331,that,które
332,some,kilka
333,went,szła
334,mad,Szalony/a
335,of,z
336,thirst,pragnienie
337,and,oraz
338,tore,rozdarcie
339,their,ich
340,flesh,Ciało
341,and,oraz
342,sucked,ssanie
343,the, do
344,blood,krew
345,that,które
346,crew,crew
347,and,oraz
348,captain,Kmdr
349,lusted,pożądany
350,with,z
351,the, do
352,comeliest,najwspanialszy
353,of,z
354,the, do
355,savage,okrutny
356,girls,dziewczyny
357,kept,zachowane
358,naked,nieosłonięta
359,in,cale
360,the, do
361,cabins,kabiny
362,that,które
363,there,tutaj
